trial_id,tf,entry,filt,spacing,kmax,tp,stop,conv,cum,ann,sharpe,mdd,calmar,req_cum,is_cum,is_sharpe,is_mdd,oos_cum,oos_sharpe,oos_mdd,n_trades,n_wins,n_B,n_A,n_Ap,heat_blocked,time_viol,win_rate
CT|e=E1|f=0|sp=1.5|k=1|tp=A1.0|sl=10|cv=gateA|1h,1h,E1,0,1.5,1,A1.0,10.0,gateA,-0.20917611509508616,-0.040806590302832735,-0.921269454658776,-0.2215292671688558,-0.1842040594651036,-0.22387820039300343,-0.1519075412337988,-0.8500141230054562,-0.16777503829536822,-0.06752633308944034,-1.1794322202015255,-0.08047362351704646,1270,1121,0,745,525,0,0,0.8826771653543307
CT|e=E1|f=0|sp=1.5|k=1|tp=A2.0|sl=-|cv=gateA|1h,1h,E1,0,1.5,1,A2.0,,gateA,-0.010987041044786539,-0.0019593926601106926,-0.00044818062248371167,-0.13798872626888925,-0.014199657559651338,-0.03237060671798031,0.011521348922352237,0.07777764021654655,-0.13798872626888925,-0.02225201671830379,-0.1723017345947158,-0.10374364619827703,98,95,0,53,45,0,0,0.9693877551020408
CT|e=E1|f=0|sp=1.5|k=1|tp=A2.0|sl=6|cv=gateA|1h,1h,E1,0,1.5,1,A2.0,6.0,gateA,-0.15750977488262174,-0.029969047432429674,-0.7026104739553466,-0.19412523446291574,-0.1543799677324008,-0.19124869400083622,-0.07706354939002347,-0.42173971676341643,-0.1352501256867592,-0.087163342004134,-1.662555144751769,-0.09655280647823816,1166,856,0,717,449,0,0,0.7341337907375644
CT|e=E1|f=0|sp=1.5|k=1|tp=A2.0|sl=10|cv=gateA|1h,1h,E1,0,1.5,1,A2.0,10.0,gateA,-0.13444779773422488,-0.025307274663062262,-0.45973866150723103,-0.16261637743164026,-0.1556256206340643,-0.1954311672287099,-0.087995992123861,-0.38016976452349716,-0.1527901011731848,-0.05093377354616957,-0.7336589897382972,-0.07010620879019724,926,757,0,542,384,0,0,0.8174946004319654
CT|e=E1|f=0|sp=1.5|k=2|tp=MID|sl=-|cv=gateA|1h,1h,E1,0,1.5,2,MID,,gateA,-0.1342471760788484,-0.02526717131510492,-0.6832008214882165,-0.14335635149009196,-0.17625428557904707,-0.21683820158373723,-0.07919308859115648,-0.4964839505967625,-0.10076294741178993,-0.05978895988460553,-1.433812683346046,-0.06642408729669524,1562,1135,0,947,615,0,0,0.7266325224071702
CT|e=E1|f=0|sp=1.5|k=2|tp=MID|sl=6|cv=gateA|1h,1h,E1,0,1.5,2,MID,6.0,gateA,-0.2272996035724818,-0.04474634445026926,-1.1753270373462439,-0.23310688323158069,-0.19195634135700695,-0.23223697669223164,-0.16149579674583503,-1.0382464310078139,-0.16920443894073067,-0.07847761116911178,-1.7249075254973918,-0.08573388793762637,1631,1167,0,996,635,0,0,0.7155119558553035
CT|e=E1|f=0|sp=1.5|k=2|tp=MID|sl=10|cv=gateA|1h,1h,E1,0,1.5,2,MID,10.0,gateA,-0.1946822561257796,-0.03770895134331265,-0.9493202872019296,-0.20225484062622479,-0.1864427631326774,-0.22633554509053233,-0.11567685144544315,-0.7218106249867539,-0.12362928180684951,-0.08933997126443072,-1.6179892299473795,-0.09525587033562677,1582,1148,0,962,620,0,0,0.7256637168141593
CT|e=E1|f=0|sp=1.5|k=2|tp=A0.5|sl=-|cv=gateA|1h,1h,E1,0,1.5,2,A0.5,,gateA,0.017672538544229344,0.003114831884388103,0.07920212734839974,-0.20220616037208305,0.015404238321208645,0.016322504838485852,0.09206131417137331,0.30663535712520656,-0.20220616037208305,-0.06811776469125141,-0.41245055750145754,-0.14798324889456516,475,471,0,279,196,0,0,0.991578947368421
CT|e=E1|f=0|sp=1.5|k=2|tp=A0.5|sl=6|cv=gateA|1h,1h,E1,0,1.5,2,A0.5,6.0,gateA,-0.22755317325993507,-0.04480200317853533,-1.2361800512132355,-0.23681672532963827,-0.1891842863555053,-0.2292503622822526,-0.12515967943115547,-0.8792035064682769,-0.1381317507553519,-0.1170424949803407,-2.176649062138819,-0.12787569731347714,1688,1519,0,1037,651,0,0,0.8998815165876777
CT|e=E1|f=0|sp=1.5|k=2|tp=A0.5|sl=10|cv=gateA|1h,1h,E1,0,1.5,2,A0.5,10.0,gateA,-0.24598150711725453,-0.048887857489312125,-1.0326249570199653,-0.2748485898491214,-0.17787196039881156,-0.21696745369065118,-0.15646987888933994,-0.8753439395820104,-0.19537394011917308,-0.10611550908230405,-1.413472388232801,-0.12395422842026504,1561,1463,0,940,621,0,0,0.9372197309417041
