rule_id,family,params,exit_code,direction,tf,sharpe_ann,sharpe_daily,n_trades,cum_return,mdd,cost_usd,funding_usd,halt_days,is_sharpe_ann,oos_sharpe_ann
"R-C|n=2,t=5,filt=0|X2|LS|1h",R-C,"n=2,t=5,filt=0",X2,LS,1h,-2.2774630957853805,-0.11920786671504355,14880,-0.9607806827244971,0.9610153494274752,12142.462666005991,-3.9595946970060396,33,-1.7667990285124728,-3.2932866643325838
"R-C|n=2,t=5,filt=0|X3|L|1h",R-C,"n=2,t=5,filt=0",X3,L,1h,-0.5286077764305351,-0.027668595585096142,3970,-0.8036215190539532,0.847511394959949,3495.1461604228916,-393.92581994485425,95,-0.5716037702513712,-0.4376017877469251
"R-C|n=2,t=5,filt=0|X3|S|1h",R-C,"n=2,t=5,filt=0",X3,S,1h,-0.8777079118145609,-0.045941331809044285,3972,-0.8949624608927441,0.9353719201522941,4798.519329586099,261.26480465681317,88,-1.1687977642593037,-0.28971307484643766
"R-C|n=2,t=5,filt=0|X3|LS|1h",R-C,"n=2,t=5,filt=0",X3,LS,1h,-0.9695581681931704,-0.050748993957505144,6210,-0.950922112731984,0.9620220051147376,4280.481941366479,57.59377892988808,124,-1.0842231525678099,-0.7264586513000862
"R-C|n=2,t=5,filt=0|X4|L|1h",R-C,"n=2,t=5,filt=0",X4,L,1h,-0.9877388376959554,-0.051700613692151544,7402,-0.7034039237495233,0.7473265362509005,11029.7475180693,-82.16159537630429,22,-0.7778278293816325,-1.3866079407271104
"R-C|n=2,t=5,filt=0|X4|S|1h",R-C,"n=2,t=5,filt=0",X4,S,1h,-1.774692593905279,-0.09289165588937023,7298,-0.8440274250840463,0.867196553357178,10289.23876961824,47.604748474073126,14,-1.2977429849350388,-2.6777032131501364
"R-C|n=2,t=5,filt=0|X4|LS|1h",R-C,"n=2,t=5,filt=0",X4,LS,1h,-1.9991268918900036,-0.10463908395086478,14660,-0.9557984872798524,0.9569185151703502,12754.487394154638,-5.115297619242064,38,-1.5263725630988403,-2.919671137820068
"R-C|n=2,t=5,filt=1|X1|L|1h",R-C,"n=2,t=5,filt=1",X1,L,1h,-0.9291722141309586,-0.04863509650822604,2448,-0.35576861916198943,0.3675992208269514,5025.0645040537165,-106.31144796006848,2,-0.7483621051513875,-1.3595790929269462
"R-C|n=2,t=5,filt=1|X1|S|1h",R-C,"n=2,t=5,filt=1",X1,S,1h,-0.964649826763014,-0.05049207962502669,2688,-0.391356832434123,0.4636443359097894,6123.806775278173,-43.44801736157176,2,-0.4838791403214183,-1.8537865280953862
"R-C|n=2,t=5,filt=1|X1|LS|1h",R-C,"n=2,t=5,filt=1",X1,LS,1h,-1.359351633407607,-0.07115171641376239,5134,-0.6102175936474821,0.6322379044335171,9007.445930256667,-126.9460845837581,4,-0.8904342126371136,-2.322314024913475
"R-C|n=2,t=5,filt=1|X2|L|1h",R-C,"n=2,t=5,filt=1",X2,L,1h,-1.2552013793537653,-0.06570024296219948,2472,-0.4225171991533234,0.42532373262050005,4851.903276009257,-88.992916025714,2,-1.0091915329693266,-1.8174013281021761
"R-C|n=2,t=5,filt=1|X2|S|1h",R-C,"n=2,t=5,filt=1",X2,S,1h,-0.6009716323097654,-0.0314562929149021,2710,-0.24951520641328384,0.3650719461620473,7142.221273238136,-46.74667045250058,1,0.24650163773468148,-2.1676384861658065
"R-C|n=2,t=5,filt=1|X2|LS|1h",R-C,"n=2,t=5,filt=1",X2,LS,1h,-1.3142123213486012,-0.06878901683566753,5180,-0.5691704983159527,0.6021282333929946,10074.20690871956,-126.14927100942066,3,-0.5599682726172835,-2.8589113279057328
